course,topic,difficulty_label,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation,question_type,starter_code,test_code
Machine Learning,supervised learning,easy,0.25,What is the main difference between Supervised and Unsupervised learning?,"Supervised learning uses labeled training data, whereas unsupervised learning works on unlabeled data.",Supervised learning requires human presence during the training phase.,Unsupervised learning is used only for neural networks.,Supervised learning is faster than unsupervised learning.,A,Supervised learning relies on matching inputs to target outputs (labels). Unsupervised learning aims to find hidden structures or groups in data without labels.,,,
Machine Learning,supervised learning,medium,0.55,Which of the following problems is a classic regression problem?,"Predicting house prices based on size, location, and age.",Filtering incoming emails into 'Spam' and 'Not Spam'.,Grouping customers into distinct clusters based on shopping frequency.,Detecting fraudulent bank transactions in real-time.,A,Regression deals with predicting continuous numeric values (like prices). Classification deals with discrete categories (like Spam vs Not Spam).,,,
Machine Learning,supervised learning,hard,0.85,"In a supervised learning environment, how does the 'inductive bias' of a model affect its behavior?",It represents the set of assumptions the model uses to predict outputs for unseen training instances.,It defines the artificial bias parameter added to neural network neurons.,It causes the model to consistently favor positive class predictions.,It indicates the system's human-level bias introduced during data scraping.,A,Inductive bias is the set of assumptions a learning algorithm uses to predict outputs for inputs it has not encountered during training.,,,
Machine Learning,metrics,easy,0.25,"In classification, what is the formula for Accuracy?",(True Positives + True Negatives) / (Total Predictions),(True Positives) / (True Positives + False Positives),(True Positives) / (True Positives + False Negatives),(True Negatives) / (True Negatives + False Positives),A,Accuracy measures the proportion of correct predictions (both positive and negative) out of all predictions made.,,,
Machine Learning,metrics,medium,0.55,"In binary classification, when should you prioritize Precision over Recall?","When the cost of a False Positive is very high, such as classifying non-spam emails as spam.","When the cost of a False Negative is very high, such as diagnosing a life-threatening disease.",When the dataset is perfectly balanced between classes.,When the model is running under strict CPU/memory constraints.,A,"Precision focuses on minimizing False Positives (i.e. of the ones predicted positive, how many are actually positive?). Recall focuses on minimizing False Negatives.",,,
Machine Learning,metrics,hard,0.85,What does the Area Under the ROC Curve (ROC-AUC) measure for a binary classification model?,The probability that the model will rank a randomly chosen positive instance higher than a randomly chosen negative instance.,The exact ratio of correct positive predictions to incorrect negative predictions.,The percentage of outliers successfully filtered from the test set.,The speed of convergence of the gradient descent algorithm.,A,ROC-AUC evaluates how well the classifier distinguishes between classes. An AUC of 0.85 means there is an 85% chance that the model will rank a random positive item above a random negative one.,,,
Machine Learning,regression,easy,0.25,What is the main objective of Linear Regression?,To find the line of best fit that minimizes the sum of squared differences between predicted and actual values.,To group variables into classes based on their distance.,To draw a curved boundary to separate categories.,To find the maximum margin between support vectors.,A,"Linear regression aims to model the relationship between variables by fitting a linear equation, typically minimizing the Mean Squared Error (MSE).",,,
Machine Learning,regression,medium,0.55,Which regression metric is most sensitive to large outlier values?,Mean Squared Error (MSE),Mean Absolute Error (MAE),R-squared (R2),Adjusted R-squared,A,"MSE squares the error terms (y_true - y_pred). This means larger errors have a disproportionately large impact on the metric, making it highly sensitive to outliers compared to MAE.",,,
Machine Learning,regression,hard,0.85,What is the primary difference between Lasso (L1) and Ridge (L2) regression regularizations?,"Lasso can shrink coefficients completely to zero, performing feature selection, while Ridge only shrinks them close to zero.","Ridge regularizes by penalizing the absolute sum of coefficients, while Lasso penalizes the squared sum.","Lasso is used only for classification, while Ridge is used only for regression.","Ridge requires an active GPU environment, whereas Lasso does not.",A,"Lasso adds an L1 penalty (absolute values of weights), which tends to produce sparse solutions where less important feature weights become exactly zero. Ridge adds an L2 penalty (squared weights), keeping all weights small but non-zero.",,,
Machine Learning,classification,easy,0.25,Which of the following is a widely used classification algorithm?,Logistic Regression,K-Means,Linear Regression,Principal Component Analysis (PCA),A,"Despite having 'Regression' in its name, Logistic Regression is a fundamental binary classification algorithm that outputs class probabilities.",,,
Machine Learning,classification,medium,0.55,How does a Decision Tree classifier decide where to split a node?,By maximizing information gain or minimizing Gini impurity.,By calculating the Euclidean distance between feature coordinates.,By performing gradient descent on weight vectors.,By selecting a random split threshold for each feature.,A,"Decision trees partition data by choosing splits that lead to maximum homogeneity (purity) in the child nodes, measured via Gini Impurity or Information Gain (Entropy).",,,
